STA,Lat,Long,Segment
27165,-6.218084301,106.5587851,Bitung - Cikupa
27170,-6.21806545,106.558744,Bitung - Cikupa
27175,-6.21804658,106.558703,Bitung - Cikupa
27180,-6.218027603,106.558662,Bitung - Cikupa
27185,-6.218008616,106.558621,Bitung - Cikupa
27190,-6.217989547,106.55858,Bitung - Cikupa
27195,-6.217970407,106.5585391,Bitung - Cikupa
27200,-6.217951248,106.5584981,Bitung - Cikupa
27205,-6.217931908,106.5584573,Bitung - Cikupa
27210,-6.217912577,106.5584165,Bitung - Cikupa
27215,-6.217893128,106.5583757,Bitung - Cikupa
27220,-6.217873616,106.5583349,Bitung - Cikupa
27225,-6.217854104,106.5582942,Bitung - Cikupa
27230,-6.217834529,106.5582534,Bitung - Cikupa
27235,-6.217814953,106.5582127,Bitung - Cikupa
27240,-6.217795314,106.558172,Bitung - Cikupa
27245,-6.217775648,106.5581313,Bitung - Cikupa
27250,-6.217755955,106.5580907,Bitung - Cikupa
27255,-6.217736108,106.5580501,Bitung - Cikupa
27260,-6.21771627,106.5580095,Bitung - Cikupa
27265,-6.217696386,106.5579689,Bitung - Cikupa
27270,-6.217676494,106.5579283,Bitung - Cikupa
27275,-6.217656565,106.5578877,Bitung - Cikupa
27280,-6.217636437,106.5578473,Bitung - Cikupa
27285,-6.2176163,106.5578068,Bitung - Cikupa
27290,-6.2175961,106.5577664,Bitung - Cikupa
27295,-6.217575863,106.557726,Bitung - Cikupa
27300,-6.21755559,106.5576856,Bitung - Cikupa
27305,-6.217535046,106.5576454,Bitung - Cikupa
27310,-6.217514501,106.5576051,Bitung - Cikupa
27315,-6.217493875,106.5575649,Bitung - Cikupa
27320,-6.217473204,106.5575247,Bitung - Cikupa
27325,-6.217452523,106.5574846,Bitung - Cikupa
27330,-6.217431798,106.5574444,Bitung - Cikupa
27335,-6.217411072,106.5574043,Bitung - Cikupa
27340,-6.217390283,106.5573641,Bitung - Cikupa
27345,-6.217369448,106.557324,Bitung - Cikupa
27350,-6.217348596,106.5572839,Bitung - Cikupa
27355,-6.21732768,106.5572439,Bitung - Cikupa
27360,-6.217306764,106.5572038,Bitung - Cikupa
27365,-6.217285767,106.5571638,Bitung - Cikupa
27370,-6.217264724,106.5571238,Bitung - Cikupa
27375,-6.217243663,106.5570838,Bitung - Cikupa
27380,-6.217222494,106.5570439,Bitung - Cikupa
27385,-6.217201333,106.557004,Bitung - Cikupa
27390,-6.217180037,106.5569641,Bitung - Cikupa
27395,-6.217158677,106.5569243,Bitung - Cikupa
27400,-6.217137299,106.5568845,Bitung - Cikupa
27405,-6.217115831,106.5568447,Bitung - Cikupa
27410,-6.217094371,106.556805,Bitung - Cikupa
27415,-6.217072785,106.5567653,Bitung - Cikupa
27420,-6.217051118,106.5567256,Bitung - Cikupa
27425,-6.21702945,106.556686,Bitung - Cikupa
27430,-6.217007664,106.5566464,Bitung - Cikupa
27435,-6.216985888,106.5566068,Bitung - Cikupa
27440,-6.216964066,106.5565672,Bitung - Cikupa
27445,-6.216942226,106.5565276,Bitung - Cikupa
27450,-6.216920359,106.5564881,Bitung - Cikupa
27455,-6.216898311,106.5564487,Bitung - Cikupa
27460,-6.216876254,106.5564092,Bitung - Cikupa
27465,-6.216854079,106.5563698,Bitung - Cikupa
27470,-6.216831832,106.5563305,Bitung - Cikupa
27475,-6.216809557,106.5562912,Bitung - Cikupa
27480,-6.216787065,106.556252,Bitung - Cikupa
27485,-6.216764573,106.5562128,Bitung - Cikupa
27490,-6.21674209,106.5561736,Bitung - Cikupa
27495,-6.216719607,106.5561344,Bitung - Cikupa
27500,-6.216697106,106.5560952,Bitung - Cikupa
27505,-6.216674505,106.5560561,Bitung - Cikupa
27510,-6.216651895,106.556017,Bitung - Cikupa
27515,-6.216629204,106.5559779,Bitung - Cikupa
27520,-6.216606477,106.5559388,Bitung - Cikupa
27525,-6.216583695,106.5558998,Bitung - Cikupa
27530,-6.216560659,106.5558609,Bitung - Cikupa
27535,-6.216537623,106.555822,Bitung - Cikupa
27540,-6.216514534,106.5557832,Bitung - Cikupa
27545,-6.216491398,106.5557444,Bitung - Cikupa
27550,-6.216468227,106.5557056,Bitung - Cikupa
27555,-6.216444811,106.5556669,Bitung - Cikupa
27560,-6.216421395,106.5556283,Bitung - Cikupa
27565,-6.216397915,106.5555897,Bitung - Cikupa
27570,-6.216374409,106.5555511,Bitung - Cikupa
27575,-6.216350884,106.5555125,Bitung - Cikupa
27580,-6.216327296,106.5554739,Bitung - Cikupa
27585,-6.216303707,106.5554354,Bitung - Cikupa
27590,-6.216280047,106.5553969,Bitung - Cikupa
27595,-6.21625635,106.5553584,Bitung - Cikupa
27600,-6.216232635,106.5553199,Bitung - Cikupa
27605,-6.216208802,106.5552815,Bitung - Cikupa
27610,-6.216184969,106.5552432,Bitung - Cikupa
27615,-6.216161046,106.5552048,Bitung - Cikupa
27620,-6.216137077,106.5551665,Bitung - Cikupa
27625,-6.216113108,106.5551282,Bitung - Cikupa
27630,-6.216089094,106.5550899,Bitung - Cikupa
27635,-6.216065071,106.5550516,Bitung - Cikupa
27640,-6.216040903,106.5550134,Bitung - Cikupa
27645,-6.216016644,106.5549753,Bitung - Cikupa
27650,-6.215992386,106.5549372,Bitung - Cikupa
27655,-6.215968082,106.5548991,Bitung - Cikupa
27660,-6.215943778,106.554861,Bitung - Cikupa
27665,-6.215919383,106.554823,Bitung - Cikupa
27670,-6.215894943,106.5547849,Bitung - Cikupa
27675,-6.215870476,106.5547469,Bitung - Cikupa
27680,-6.215845855,106.5547091,Bitung - Cikupa
27685,-6.215821225,106.5546712,Bitung - Cikupa
27690,-6.215796559,106.5546333,Bitung - Cikupa
27695,-6.215771856,106.5545955,Bitung - Cikupa
27700,-6.215747126,106.5545576,Bitung - Cikupa
27705,-6.215722197,106.5545199,Bitung - Cikupa
